,t,traffic_flow
0,0,0.0
1,1,0.04299999999999999
2,2,0.10216051567148161
3,3,0.1340690274754573
4,4,0.17631321116371745
5,5,0.21591418684044497
6,6,0.1993431050673704
7,7,0.18866938424406013
8,8,0.18364636624511965
9,9,0.18754470165080853
10,10,0.19553031243307575
11,11,0.20353970112086808
12,12,0.20234201952296502
13,13,0.2083400541978975
14,14,0.19432280760037696
15,15,0.19792574622460543
16,16,0.2041427366576062
17,17,0.20758588560726227
18,18,0.21910626267075917
19,19,0.23253966251822786
20,20,0.23884600262206812
21,21,0.2549016181819895
22,22,0.23805222465517997
23,23,0.2302759033001196
24,24,0.239924184777356
25,25,0.2534148689907186
26,26,0.2919632414992482
27,27,0.2962318089040515
28,28,0.2763777291302356
29,29,0.2595710632513127
30,30,0.2593402540042763
31,31,0.2687271862595398
32,32,0.2812598216783133
33,33,0.29115829175829533
34,34,0.2790866142182566
35,35,0.26863411269186477
36,36,0.28047835761563117
37,37,0.2709858628321915
38,38,0.2721683379324487
39,39,0.27651312741726003
40,40,0.2981014177856184
41,41,0.300424682400308
42,42,0.31687787642213094
43,43,0.2934643997734279
44,44,0.3131795751056864
45,45,0.30259736422685873
46,46,0.28511794745092345
47,47,0.27940702727438366
48,48,0.2984188300587141
49,49,0.29125903698162914
50,50,0.28034132277139534
51,51,0.27279735223604207
52,52,0.2860223048868697
53,53,0.28884931872943626
54,54,0.2988933269158428
55,55,0.3139077311957752
56,56,0.33005713923415875
57,57,0.3201301522555235
58,58,0.31396407315724423
59,59,0.31575900936037565
60,60,0.3188282811210417
61,61,0.3649151019807268
62,62,0.3659551276628074
63,63,0.3640184507832663
64,64,0.3655023970282922
65,65,0.3526786459510412
66,66,0.354932840842228
67,67,0.3252523249988157
68,68,0.3484979329925045
69,69,0.3305002987206261
70,70,0.3271710360192119
71,71,0.3186855006569083
72,72,0.33276007925154827
73,73,0.32193423711684915
74,74,0.3290871961355581
75,75,0.33027116937397805
76,76,0.34195863236216717
77,77,0.34501835410178194
78,78,0.355333992228393
79,79,0.36537511596107697
80,80,0.36078982780347074
81,81,0.3192412659422131
82,82,0.2923062849015641
83,83,0.2897956741834109
84,84,0.29589750203053583
85,85,0.3321164089608075
86,86,0.35137265919277455
87,87,0.3433668898917683
88,88,0.3165205414909463
89,89,0.3209231482267271
90,90,0.33249964683212485
91,91,0.3291244511541921
92,92,0.33187094104915443
93,93,0.33578216076711664
94,94,0.34525814592745424
95,95,0.3704331006463309
96,96,0.38047666004603564
97,97,0.37733611454853144
98,98,0.4025474607673199
99,99,0.3802113206512048
100,100,0.35973266156650013
101,101,0.3633344318804579
102,102,0.35396575261086943
103,103,0.3312422689078727
104,104,0.3439154247562051
105,105,0.3497826470216045
106,106,0.35450687091403715
107,107,0.36541485925760303
108,108,0.35330333162717464
109,109,0.32697829876472534
110,110,0.36406101724239387
111,111,0.36433339781692303
112,112,0.33922356686574756
113,113,0.35064430344033476
114,114,0.3555300964251774
115,115,0.36280309173192826
116,116,0.32636178862331744
117,117,0.33053755281142594
118,118,0.35045389824441897
119,119,0.3122634854216008
120,120,0.3315909929517332
121,121,0.3279922741442075
122,122,0.32638027324499125
123,123,0.3506873385002369
124,124,0.34676031743049424
125,125,0.35343444959167625
126,126,0.35141976908558287
127,127,0.3558227310780605
128,128,0.3741766532795706
129,129,0.3680953313596831
130,130,0.3671812151915882
131,131,0.3718715108322186
132,132,0.35440117205969107
133,133,0.35149295963965627
134,134,0.3328126057512311
135,135,0.34479000857216535
136,136,0.3528640202003867
137,137,0.35553328392331884
138,138,0.345263414383135
139,139,0.348186345979991
140,140,0.3311385147661995
141,141,0.3217929400939073
142,142,0.34198369136857154
143,143,0.340693930924435
144,144,0.3439634282489326
145,145,0.3637558315220079
146,146,0.3436491108902006
147,147,0.3492961572896014
148,148,0.3326997089095788
149,149,0.3370123930148252
150,150,0.33245210456205415
151,151,0.3477882943438464
152,152,0.3521226973589027
153,153,0.35484678653630886
154,154,0.3435219200406847
155,155,0.3421713342983078
156,156,0.3501324139007962
157,157,0.37160256516332735
158,158,0.4046910107332115
159,159,0.4257447184687717
160,160,0.4149231478049231
161,161,0.4044395024805356
162,162,0.37366761536238896
163,163,0.37891496190933793
164,164,0.35459146258992386
165,165,0.34129083015310735
166,166,0.3315700940275493
167,167,0.3313641956699616
168,168,0.3426527918679536
169,169,0.3524130480217809
170,170,0.35356171806946224
171,171,0.3392698780306659
172,172,0.3329056540961328
173,173,0.34789819377790415
174,174,0.3610520844695022
175,175,0.3493384502267549
176,176,0.3700383548390947
177,177,0.35078664237325013
178,178,0.35806269094676396
179,179,0.34776704803503916
180,180,0.36301640081364767
181,181,0.3664749917201409
182,182,0.35943974971283227
